

n=20;

m=16;


42	12	27	22	32	55	61	35	16	63	38	39	34	58	35	41	6	46	70	61
73	85	86	72	54	52	71	33	61	28	48	51	98	64	53	71	51	69	83	80
40	63	8	52	67	33	55	10	59	3	12	64	73	32	9	43	33	21	10	21
15	73	44	9	44	63	70	40	51	39	38	8	29	25	19	51	67	34	41	73
65	41	44	73	26	66	44	8	59	38	47	51	48	56	98	29	88	76	43	56
67	66	52	69	40	9	30	20	64	34	6	64	20	12	57	30	22	55	22	34
36	32	41	52	2	57	11	22	59	9	12	15	50	73	30	5	10	8	34	44
58	1	24	21	32	32	67	67	6	44	48	5	57	59	20	15	54	41	21	3
2	47	4	53	62	41	57	57	74	23	24	1	24	15	50	64	51	18	64	58
65	16	29	58	44	27	52	11	16	71	53	43	16	29	5	58	50	65	54	73
23	5	35	7	15	53	66	40	38	41	35	13	44	24	47	6	14	5	37	24
29	61	42	41	16	45	27	33	55	12	34	68	43	49	62	15	8	74	8	12
72	70	74	18	49	1	14	40	24	29	29	65	16	10	58	5	58	1	53	65
52	32	14	20	37	24	20	30	47	50	7	4	58	51	65	53	25	47	26	43
70	53	18	6	17	67	66	49	61	58	50	44	41	13	33	70	40	53	57	26
65	41	44	73	26	66	44	8	59	38	47	51	48	56	98	29	88	76	43	56
