n = 50; m = 22

13	14	18	9	13	37	29	25	35	21	28	23	3	10	12	28	13	6	13	28	15	16	13	18	23	16	34	22	7	15	23	7	39	19	12	16	8	11	13	37	16	14	10	30	16	29	13	6	29	21
2	5	9	36	37	37	30	36	31	13	11	20	22	33	9	36	26	4	23	3	6	17	25	11	32	3	27	38	6	24	32	34	35	34	15	2	34	10	4	5	30	2	15	4	39	15	9	8	6	8
23	11	23	2	29	18	30	36	1	2	4	30	20	21	39	21	13	12	10	13	26	5	4	32	8	35	9	4	30	26	33	9	26	6	34	19	30	25	33	34	23	25	11	27	30	6	11	25	37	27
8	27	20	10	31	36	16	15	36	38	36	9	13	6	29	34	19	13	25	32	3	2	34	32	16	35	33	13	35	38	27	25	15	32	25	35	16	25	36	33	11	37	20	25	2	9	11	33	8	15
2	39	10	29	4	12	8	33	10	10	25	29	15	31	24	17	17	35	18	33	22	15	33	19	37	25	18	24	2	24	12	38	26	33	2	23	36	20	37	14	38	14	18	9	37	3	35	31	29	39
23	11	23	2	29	18	30	36	1	2	4	30	20	21	39	21	13	12	10	13	26	5	4	32	8	35	9	4	30	26	33	9	26	6	34	19	30	25	33	34	23	25	11	27	30	6	11	25	37	27
32	29	19	32	11	22	29	13	14	36	25	19	37	15	23	21	11	6	12	33	29	19	31	2	7	29	5	36	12	25	8	37	37	14	1	5	5	4	6	9	2	20	13	4	20	38	25	2	34	29
4	1	5	18	25	15	26	19	18	21	18	25	15	27	27	33	7	16	24	16	32	20	25	28	26	22	27	5	34	11	4	24	21	23	6	28	29	20	13	38	32	38	9	27	20	29	23	6	30	35
29	6	8	13	34	5	23	18	32	28	30	1	1	38	34	21	11	15	37	20	31	34	17	15	19	22	9	21	18	13	12	9	28	6	27	39	29	33	36	26	25	5	27	19	22	37	11	32	1	29
4	1	5	18	25	15	26	19	18	21	18	25	15	27	27	33	7	16	24	16	32	20	25	28	26	22	27	5	34	11	4	24	21	23	6	28	29	20	13	38	32	38	9	27	20	29	23	6	30	35
4	11	8	9	32	21	27	15	37	18	18	27	11	16	38	4	27	30	33	11	23	14	18	33	34	11	23	32	25	36	10	5	12	25	17	21	32	20	34	37	17	5	25	37	10	32	1	11	29	35
26	27	10	12	15	31	28	25	32	36	22	39	29	23	24	3	13	30	2	31	31	3	31	8	26	13	35	19	31	15	23	11	27	10	17	6	10	5	12	7	23	12	33	27	2	11	28	3	22	4
29	6	8	13	34	5	23	18	32	28	30	1	1	38	34	21	11	15	37	20	31	34	17	15	19	22	9	21	18	13	12	9	28	6	27	39	29	33	36	26	25	5	27	19	22	37	11	32	1	29
35	50	68	40	74	48	1	26	76	74	17	49	11	25	27	57	7	59	82	79	32	42	34	50	78	11	23	6	19	60	76	57	3	24	24	46	56	81	10	40	19	25	3	58	41	44	47	31	49	4
45	35	53	8	12	29	12	49	26	27	82	21	65	35	49	46	32	28	69	52	43	71	28	74	26	48	38	53	63	19	82	83	21	60	72	83	69	28	47	1	42	77	69	83	78	65	22	26	74	80
67	54	72	16	58	13	40	1	14	28	65	49	61	58	42	33	77	27	14	3	27	35	76	24	34	7	45	35	49	5	5	71	71	45	64	5	45	53	50	6	51	26	14	44	14	83	35	28	14	24
9	38	45	15	40	50	20	24	23	9	39	48	70	18	36	23	83	44	79	83	23	74	46	5	55	55	22	33	6	61	26	76	33	1	38	14	78	66	18	3	72	82	50	44	30	17	66	18	27	75
40	5	53	15	10	43	73	42	15	41	4	61	55	9	35	21	11	82	5	21	43	80	79	23	74	43	1	50	5	23	38	67	79	70	83	79	47	1	64	79	19	55	15	50	11	52	57	49	8	55
67	54	72	16	58	13	40	1	14	28	65	49	61	58	42	33	77	27	14	3	27	35	76	24	34	7	45	35	49	5	5	71	71	45	64	5	45	53	50	6	51	26	14	44	14	83	35	28	14	24
13	52	52	33	1	1	35	22	69	10	69	31	32	35	37	46	69	78	33	67	76	63	83	70	62	4	77	67	35	55	46	45	20	5	32	27	50	19	10	25	40	60	10	50	48	48	82	29	67	61
33	5	66	54	68	5	55	36	5	26	69	14	45	74	79	5	55	31	9	60	80	55	8	14	66	15	54	70	9	40	23	26	74	5	62	29	23	56	5	81	78	62	47	52	59	5	29	33	60	60
4	11	8	9	32	21	27	15	37	18	18	27	11	16	38	4	27	30	33	11	23	14	18	33	34	11	23	32	25	36	10	5	12	25	17	21	32	20	34	37	17	5	25	37	10	32	1	11	29	35
