
n= 20; m=8;


88	30	34	33	21	7	94	10	73	85	82	62	99	67	61	10	4	70	31	49
9	41	22	34	83	55	3	8	75	30	57	65	89	60	90	84	74	17	2	19
69	30	61	35	53	98	94	33	77	31	54	71	78	9	79	51	76	56	80	72
94	43	6	47	45	51	73	49	31	58	19	36	54	75	7	5	82	20	31	32
3	18	43	41	83	62	27	75	52	58	18	1	61	67	55	72	16	12	87	21
39	23	28	31	86	19	85	90	77	4	85	81	9	52	67	77	45	7	21	26
1	92	83	43	3	3	51	5	38	37	44	66	31	8	79	42	85	92	89	29
69	30	61	35	53	98	94	33	77	31	54	71	78	9	79	51	76	56	80	72






																			

