
n= 20; m=8;


30	9	24	74	95	27	67	37	25	1	63	75	2	28	25	35	92	37	12	73
56	24	52	76	72	64	83	51	11	9	94	10	50	48	68	2	51	73	91	6
92	50	61	72	9	47	54	6	95	24	23	18	87	98	31	14	37	27	28	1
59	87	12	90	83	92	63	74	86	22	54	65	55	19	7	35	78	32	10	75
14	53	49	40	19	25	54	5	37	56	18	31	30	2	5	15	71	46	49	89
59	42	13	56	27	13	29	20	30	26	98	12	48	54	93	29	51	33	32	80
9	14	11	46	86	55	2	78	55	68	49	12	56	53	20	63	79	17	84	37
92	50	61	72	9	47	54	6	95	24	23	18	87	98	31	14	37	27	28	1




																			

