n = 50; m = 10;

24	47	39	66	41	46	24	23	68	50	93	22	64	81	94	97	54	82	11	91	23	32	26	22	12	23	34	87	59	2	38	84	62	10	11	93	57	81	10	40	62	49	90	34	11	81	51	21	39	27
51	64	38	65	60	24	6	14	4	27	45	72	11	2	12	51	24	47	6	14	5	37	24	12	73	47	43	22	21	74	64	24	43	61	3	52	32	23	5	35	7	15	53	66	40	38	41	35	13	44
64	25	66	44	17	61	2	27	48	69	71	53	19	24	18	67	49	62	15	8	74	8	12	30	58	58	21	53	49	60	61	73	66	3	39	48	55	29	61	42	41	16	45	27	33	55	12	34	68	43
37	12	36	65	5	34	25	22	28	55	44	47	25	23	42	64	10	58	5	58	1	53	65	36	47	72	65	16	46	38	19	64	73	64	9	10	61	72	70	74	18	49	1	14	40	24	29	29	65	16
64	64	26	66	25	32	21	61	61	67	26	47	27	50	24	4	51	65	53	25	47	26	43	15	12	28	50	60	18	17	3	49	67	39	48	15	32	52	32	14	20	37	24	20	30	47	50	7	4	58
37	9	35	31	3	36	32	29	48	11	52	4	50	31	6	51	13	33	70	40	53	57	26	23	70	27	29	57	1	47	38	23	12	27	28	32	6	70	53	18	6	17	67	66	49	61	58	50	44	41
12	70	41	12	6	27	38	7	67	14	55	6	42	44	32	35	36	72	33	2	30	6	53	27	8	61	6	2	53	12	71	61	62	11	9	69	29	65	41	44	73	26	66	44	8	59	38	47	51	48
53	9	50	40	50	29	38	58	60	25	72	64	63	41	17	64	23	73	53	41	72	44	30	19	55	49	53	18	35	29	40	67	24	6	63	61	40	46	64	19	46	33	45	56	18	59	50	55	63	18
3	9	37	15	63	41	73	60	60	67	32	27	73	37	5	44	67	69	25	53	36	53	73	33	72	49	26	3	52	35	50	26	24	35	68	43	13	51	27	61	56	13	35	64	44	67	60	44	51	12
64	64	26	66	25	32	21	61	61	67	26	47	27	50	24	4	51	65	53	25	47	26	43	15	12	28	50	60	18	17	3	49	67	39	48	15	32	52	32	14	20	37	24	20	30	47	50	7	4	58
