m= 22;
n=  20;


4	30	45	26	21	32	42	50	43	9	26	21	3	20	48	48	43	53	10	51	
3	25	35	1	49	19	46	3	30	25	43	41	43	9	21	24	2	40	34	34	
20	46	51	30	3	50	41	34	3	24	52	47	37	13	26	55	9	46	55	33	
43	22	26	32	31	3	32	27	30	25	39	41	29	5	52	30	1	41	50	31	
15	39	21	55	16	26	12	10	37	20	34	33	12	11	5	47	34	26	20	16	
31	55	23	16	51	2	48	15	9	21	22	24	34	23	16	42	13	30	28	32	
53	41	15	45	3	3	29	35	24	48	55	8	6	36	15	32	50	12	47	34	
6	19	37	19	40	35	49	2	47	2	18	36	42	16	42	32	34	9	14	32	
34	14	27	23	45	30	32	52	55	48	19	52	16	37	45	28	44	19	51	35	
40	19	32	14	19	38	26	29	40	13	43	35	7	2	52	30	8	34	2	25	
46	18	18	54	14	31	22	13	30	53	3	46	19	50	30	46	32	51	35	9	
2	29	40	51	39	53	55	47	45	47	26	17	45	35	46	4	29	51	2	39	
52	22	26	5	16	3	10	25	44	35	8	50	17	2	34	35	36	12	46	27	
38	33	52	3	46	13	9	21	39	31	26	18	38	48	41	34	8	7	20	3	
9	36	10	48	15	17	34	14	19	14	54	53	33	55	19	37	22	7	38	13	
22	26	35	42	19	15	40	37	38	25	52	20	31	3	50	40	47	31	18	55	
46	24	55	53	34	50	35	38	26	42	10	40	25	42	52	31	15	19	3	23	
13	31	43	21	50	23	37	19	32	24	5	42	23	9	46	26	39	44	25	24	
38	9	29	21	15	48	9	3	44	4	8	19	55	32	46	39	43	15	26	43	
31	3	23	13	4	30	34	11	23	42	21	39	2	3	18	44	33	13	3	51	
16	37	16	3	48	11	14	47	30	36	55	15	49	27	21	43	49	9	5	10	
46	18	18	54	14	31	22	13	30	53	3	46	19	50	30	46	32	51	35	9	
