m= 22;
n=  20;

74	26	84	41	3	46	39	90	62	63	74	4	37	75	72	30	43	95	41	97
70	92	36	70	37	36	42	34	29	80	91	56	71	14	31	75	80	73	32	56
84	20	64	44	69	63	94	86	66	97	25	90	12	62	83	32	12	38	22	92
63	61	46	6	83	49	78	84	97	56	76	9	38	21	80	47	24	95	80	65
72	91	21	70	12	67	65	90	47	82	62	3	84	30	91	5	11	41	14	28
78	58	53	17	36	32	83	91	73	81	74	2	31	37	78	74	51	41	78	26
33	70	10	45	70	99	92	50	54	64	44	4	99	43	43	11	60	53	45	63
87	20	71	95	71	27	79	19	41	74	8	55	87	87	37	52	36	6	42	30
3	86	3	89	57	44	28	88	48	26	58	6	33	3	25	61	93	69	53	47
28	36	39	63	66	24	18	67	17	84	9	33	80	27	42	60	96	81	31	88
53	41	15	45	3	3	29	35	24	48	55	8	6	36	15	32	50	12	47	34
47	77	66	13	77	20	29	11	85	98	36	92	99	65	34	35	42	28	28	5
80	46	37	86	85	67	22	67	20	1	39	25	1	41	74	39	2	20	3	29
51	79	35	63	18	67	73	2	23	59	46	12	17	87	35	27	71	11	97	83
63	22	47	46	72	16	35	2	22	50	8	46	19	82	69	14	94	39	62	27
60	20	13	64	67	25	39	40	72	28	36	60	2	8	33	85	51	6	5	72
70	96	56	22	44	83	66	56	27	52	46	83	76	25	28	26	98	64	66	15
39	75	66	89	56	42	90	77	76	43	14	3	57	98	47	35	58	6	95	9
33	1	59	85	1	85	65	47	13	12	23	21	89	51	34	62	6	22	75	22
5	37	72	6	90	71	47	60	93	17	65	12	97	29	41	3	46	33	55	10
9	14	37	54	14	53	27	64	25	79	30	33	5	96	1	51	42	78	70	91
53	41	15	45	3	3	29	35	24	48	55	8	6	36	15	32	50	12	47	34
