m= 22;
n=  20;



15	19	18	17	31	5	45	21	19	40	37	20	28	21	26	3	45	47	27	20
10	1	2	33	50	21	9	33	26	30	50	28	48	44	26	44	19	13	33	5
17	24	21	42	45	9	16	8	1	21	2	46	23	38	40	28	2	42	31	1
15	46	13	5	16	10	34	31	4	15	16	6	13	49	18	24	5	4	6	32
23	22	25	35	20	18	21	47	13	16	24	31	31	15	33	2	13	50	11	41
4	44	36	5	35	3	49	27	17	49	41	29	9	2	34	35	36	14	38	4
26	31	44	40	45	14	24	16	28	22	2	21	13	35	43	24	2	3	11	22
2	7	8	39	11	43	13	5	46	45	17	40	42	4	6	29	40	7	50	42
27	35	29	25	23	27	42	41	39	29	12	17	20	49	35	11	20	19	30	3
18	19	47	49	3	40	45	29	26	15	31	49	42	13	39	20	28	34	16	6
42	38	19	22	43	22	9	15	13	37	11	31	36	45	29	14	32	40	4	35
14	43	11	30	22	14	8	42	45	30	13	23	16	36	30	8	31	20	35	14
3	20	11	22	2	28	46	50	33	39	27	27	47	38	35	15	32	7	6	21
11	32	45	28	3	11	32	29	43	10	49	48	29	38	2	30	27	5	18	42
29	16	4	6	25	22	40	12	20	5	46	17	18	46	48	28	22	8	24	46
36	20	10	41	11	6	46	50	6	23	23	47	4	42	17	12	49	7	44	13
23	23	8	34	31	40	20	10	20	20	47	27	37	5	11	20	6	4	1	10
27	49	3	5	4	45	39	29	19	13	13	8	34	27	50	9	27	13	26	17
42	10	9	14	22	46	39	40	49	27	9	23	13	11	34	9	50	18	42	50
36	9	39	46	17	11	43	42	50	28	3	20	19	27	45	34	25	17	4	15
47	35	34	25	24	47	12	17	25	5	17	45	36	32	6	43	29	3	3	27
42	38	19	22	43	22	9	15	13	37	11	31	36	45	29	14	32	40	4	35



