

n=20;

m=10;
 			

28	9	20	23	22	12	14	25	26	28	35	29	20	34	26	15	15	23	3	12
25	10	2	8	34	24	13	35	5	11	2	20	32	21	12	1	23	2	33	31
22	22	30	38	13	31	22	36	33	28	36	34	34	24	20	2	17	31	34	27
19	9	13	39	33	16	6	7	32	32	38	23	4	15	36	22	36	7	29	8
51	11	22	62	56	42	57	55	58	35	63	27	6	29	19	27	34	43	30	58
25	16	8	24	16	38	38	2	33	9	11	5	1	7	24	20	19	4	38	36
35	16	17	5	6	8	4	33	17	14	4	16	36	31	27	24	11	21	8	21
33	30	24	1	26	12	22	39	26	26	37	23	23	22	26	7	2	2	24	29
24	36	46	18	22	33	49	30	17	49	17	33	29	26	53	40	57	58	59	32
51	11	22	62	56	42	57	55	58	35	63	27	6	29	19	27	34	43	30	58


