
n- 20; m=14;



6	21	25	2	34	43	37	25	5	38	16	28	27	41	4	10	12	3	49	18
16	7	20	37	39	36	38	43	38	11	37	9	11	18	36	33	3	24	34	39
27	12	21	35	26	44	45	11	2	7	26	3	8	14	12	26	30	33	48	44
16	9	34	4	34	37	7	44	29	26	17	48	36	6	8	14	22	40	37	38
39	8	4	13	20	6	17	39	46	46	44	44	37	3	1	12	48	18	34	41
8	42	34	22	33	35	15	40	48	20	28	24	14	23	29	43	8	15	5	16
47	9	45	17	12	13	40	19	25	44	1	39	45	11	4	17	19	44	4	12
47	9	45	17	12	13	40	19	25	44	1	39	45	11	4	17	19	44	4	12
17	25	30	4	25	26	46	13	38	9	31	40	35	18	12	34	34	14	49	40
8	16	8	13	39	4	23	43	38	4	13	38	5	7	38	8	4	6	11	10
9	15	45	1	3	31	43	2	30	27	23	4	41	39	26	9	4	23	43	5
13	1	16	43	35	37	1	3	26	36	12	13	32	19	44	23	19	42	36	28
24	46	41	48	33	30	6	19	29	12	19	36	49	2	49	17	46	32	33	33
27	12	21	35	26	44	45	11	2	7	26	3	8	14	12	26	30	33	48	44
