n=10; m= 22; 

27	37	37	1	82	24	28	98	74	36
43	4	92	75	86	26	17	7	80	24
4	43	18	9	81	66	82	21	60	26
60	28	94	34	61	10	4	83	91	38
22	17	47	30	10	84	13	26	16	48
46	18	47	2	77	74	77	32	65	91
30	99	34	16	34	28	69	85	50	58
69	97	10	51	95	51	92	71	98	33
45	21	98	64	50	74	77	32	70	95
29	29	20	68	84	29	75	85	98	68
91	13	7	95	20	69	45	44	29	32
74	4	37	75	72	30	43	95	41	97
91	56	71	14	31	75	80	73	32	56
25	90	12	62	83	32	12	38	22	92
76	9	38	21	80	47	24	95	80	65
62	3	84	30	91	5	11	41	14	28
74	2	31	37	78	74	51	41	78	26
44	4	99	43	43	11	60	53	45	63
8	55	87	87	37	52	36	6	42	30
58	6	33	3	25	61	93	69	53	47
9	33	80	27	42	60	96	81	31	88
91	13	7	95	20	69	45	44	29	32















