n=10; m= 22; 

20		38		13		37		1		40		14		15		13		34
45		31		30		31		46		17		1		4		3		22
39		8		1		45		19		12		26		36		15		9
37		29		42		8		36		47		38		11		21		35
3		1		25		48		6		29		1		46		38		17
17		48		18		40		43		29		4		19		11		18
17		17		38		14		24		24		10		11		39		20
4		38		1		38		13		2		22		23		31		41
13		34		13		8		29		19		22		4		35		21
38		35		37		19		4		42		10		38		21		32
48		25		4		8		17		18		2		7		1		39
26		46		22		8		18		24		12		38		1		16
39		46		39		35		34		28		2		23		42		12
9		41		14		22		46		19		40		45		10		38
3		34		12		47		23		4		4		38		47		8
1		21		42		32		15		36		24		6		35		24
9		10		23		5		20		24		48		23		47		19
37		1		26		12		27		2		7		19		7		37
35		20		45		39		32		29		41		46		36		46
36		20		30		25		24		4		33		18		24		43
27		6		24		26		45		29		30		11		21		25
48		25		4		8		17		18		2		7		1		39








