n=10; m= 22; 

51	63	41	60	68	35	29	27	63	40
44	46	34	50	58	8	39	52	17	71
48	48	46	3	64	18	21	23	34	56
49	37	34	55	29	23	37	33	44	60
32	50	51	35	63	29	73	32	34	7
25	30	54	50	11	32	59	57	24	86
24	48	42	53	16	58	84	26	65	73
57	49	69	6	2	84	12	77	54	15
25	69	54	64	42	51	48	5	67	72
24	48	42	53	16	58	84	26	65	73
19	51	29	51	11	3	8	40	17	62
54	30	19	72	48	59	27	43	43	68
41	28	7	27	3	57	6	50	27	10
25	21	44	23	54	15	52	8	47	51
73	24	71	12	53	63	31	25	20	40
3	61	60	23	13	52	18	47	60	28
29	17	22	3	68	35	20	40	66	12
47	42	51	70	55	12	74	36	51	28
1	64	47	27	30	3	48	4	61	12
11	44	54	57	31	44	67	44	38	49
63	66	72	58	55	72	64	13	63	63
19	51	29	51	11	3	8	40	17	62



