n=10; m= 22; 

 
74	4	37	75	72	30	43	95	41	97
91	14	95	89	4	95	2	97	68	20
24	24	65	62	19	67	66	6	65	59
78	79	58	44	38	76	70	72	85	8
17	25	21	28	68	24	62	89	60	64
68	25	67	80	43	93	21	33	14	30
39	79	9	26	72	29	36	48	57	95
76	2	14	3	22	26	44	1	4	16
25	16	79	90	51	29	29	90	83	83
52	6	3	64	55	97	83	42	81	92
78	3	72	95	53	59	34	66	42	63
39	79	9	26	72	29	36	48	57	95
91	14	95	89	4	95	2	97	68	20
24	24	65	62	19	67	66	6	65	59
17	25	21	28	68	24	62	89	60	64
68	25	67	80	43	93	21	33	14	30
39	79	9	26	72	29	36	48	57	95
76	2	14	3	22	26	44	1	4	16
25	16	79	90	51	29	29	90	83	83
52	6	3	64	55	97	83	42	81	92
78	3	72	95	53	59	34	66	42	63
39	79	9	26	72	29	36	48	57	95














