n= 10; m= 22;




52	95	42	75	44	57	89	53	84	62
63	99	69	70	53	21	10	31	80	18
82	21	79	95	46	23	40	95	87	37
16	26	46	66	76	31	36	8	37	21
63	55	59	35	21	59	78	25	30	38
94	34	89	62	47	66	76	15	18	54
79	21	93	32	8	45	37	78	26	98
22	6	24	55	48	57	78	5	50	83
80	13	64	77	17	7	82	4	72	93
96	3	50	57	66	8	98	55	70	32
53	19	99	62	88	84	34	72	42	65
52	95	42	75	44	57	89	53	84	62
82	21	79	95	46	23	40	95	87	37
63	55	59	35	21	59	78	25	30	38
79	21	93	32	8	45	37	78	26	98
80	13	64	77	17	78	82	4	72	93
53	19	99	62	88	93	34	72	42	65
71	90	59	82	22	88	35	49	78	69
95	53	54	22	84	54	2	80	84	66
92	62	11	83	87	66	98	42	23	45
61	86	16	42	14	92	67	77	46	41
53	19	99	62	88	84	34	72	42	65

 
