n=10; m= 22; 

43	50	51	88	95	52	15	25	2	21
57	90	81	15	66	1	89	31	20	46
31	19	14	10	78	15	91	35	79	78
67	68	38	40	28	5	26	59	77	60
67	37	74	4	15	93	4	9	33	97
25	21	12	6	56	19	75	35	64	89
26	49	42	15	66	67	40	97	13	54
91	13	94	52	7	71	1	84	38	61
20	64	97	82	36	99	41	30	80	70
30	58	95	96	92	54	18	20	27	59
22	93	6	95	58	12	16	93	40	87
64	60	75	83	41	27	94	22	96	21
74	1	89	78	14	48	91	33	46	1
93	78	41	30	42	71	6	16	76	63
45	79	47	33	75	81	66	78	41	38
69	57	43	90	30	46	49	77	67	54
79	75	91	79	23	60	97	55	76	14
99	36	32	53	67	68	97	9	16	55
23	1	74	95	45	3	80	78	31	76
32	49	63	72	86	63	80	87	55	53
61	42	51	15	16	60	47	15	26	96
22	93	6	95	58	12	16	93	40	87











