n=10; m= 22; 

42		37		63		43		77		65		88		25		36		42
77		37		41		85		85		6		23		59		78		76
88		86		64		44		22		1		13		12		22		45
33		9		9		78		36		36		15		41		45		55
85		78		66		75		42		72		17		3		75		31
9		1		13		65		63		86		75		41		67		17
70		30		15		16		36		63		48		66		63		8
25		30		30		20		67		89		32		66		29		62
51		73		11		30		82		65		48		77		75		35
2		86		50		58		53		85		88		87		88		26
66		55		36		39		59		80		39		41		50		91
53		37		70		35		50		52		53		24		29		39
44		81		30		38		72		38		14		92		81		82
90		63		41		74		87		33		5		72		5		91
66		77		41		43		66		64		74		37		28		33
75		55		35		87		28		59		47		40		36		47
1		11		32		68		17		17		92		51		37		68
82		6		1		16		77		59		9		21		81		85
27		22		11		46		71		60		54		51		33		38
2		39		36		61		66		78		62		58		63		18
56		80		30		11		28		86		23		49		34		36
66		55		36		39		59		80		39		41		50		91







