n=10; m= 22; 

 
39	16	84	51	19	57	33	1	23	39
9	19	71	7	23	7	65	56	7	87
72	13	49	37	89	37	58	4	13	48
93	77	20	1	60	36	85	18	97	24
8	83	29	87	77	15	26	97	44	85
75	70	16	72	85	94	49	40	64	98
16	98	85	63	10	14	82	39	23	29
98	49	46	66	63	88	41	13	43	54
65	93	14	73	97	17	91	71	59	45
21	98	61	78	6	34	53	63	3	50
91	13	7	95	20	69	45	44	29	32
74	26	84	41	3	46	39	90	62	63
70	92	36	70	37	36	42	34	29	80
84	20	64	44	69	63	94	86	66	97
63	61	46	6	83	49	78	84	97	56
72	91	21	70	12	67	65	90	47	82
78	58	53	17	36	3	83	91	73	81
33	70	10	45	70	2	92	50	54	64
87	20	71	95	71	99	79	19	41	74
3	86	3	89	57	27	28	88	48	26
28	36	39	63	66	44	18	67	17	84
91	13	7	95	20	69	45	44	29	32










