n=10; m= 22; 

13	8	15	40	30	36	6	59	6	60
4	35	18	38	18	1	48	31	60	58
39	23	25	24	49	18	38	21	28	53
61	20	17	42	13	60	22	54	9	37
26	4	44	18	52	63	35	40	41	23
33	20	53	37	15	55	13	20	56	48
50	37	8	57	36	23	63	26	54	26
53	28	51	43	60	39	64	48	59	18
22	17	33	24	38	53	34	16	63	32
39	17	14	12	21	23	45	21	36	45
46	26	28	31	26	26	7	31	57	49
15	25	62	2	27	47	15	6	26	51
31	56	57	14	30	54	1	4	7	31
36	23	29	52	11	64	15	33	31	44
43	32	15	2	56	10	55	59	20	6
10	24	35	29	29	53	48	23	26	63
26	28	2	20	37	11	28	57	36	54
48	12	25	40	22	20	31	49	44	35
18	35	19	44	18	7	54	14	5	42
54	51	13	29	41	17	63	37	30	17
49	13	22	52	4	14	3	3	58	22
46	26	28	31	26	26	7	31	57	49









